,AOI dwell number,AOI fixation number,Mode,Participant,File,Mean AOI dwell time (mcs),Mean AOI fixation time (mcs),Mean fixation time (mcs),Total AOI fixation time (mcs),Total fixation number,Total fixation time (mcs)
0,11.7142857143,31.3571428571,faces,12,12-faces_19_49__31_10 Samples.txt,1218457.90243,435621.941702,352178.121301,14486624.8571,80.5,25137434.6429
1,14.6428571429,44.8571428571,facenoise,12,12-facesnoise_20_02__31_10 Samples.txt,617917.302504,234060.544242,222466.126273,9944919.85714,108.285714286,22519007.4286
2,11.8571428571,35.6428571429,letters,12,12-letters_19_36__31_10 Samples.txt,1609333.44989,514943.393765,448079.25636,17843025.2857,67.1428571429,28707797.2143
3,13.9285714286,43.4285714286,noise,12,12-noise_20_15__31_10 Samples.txt,829625.750944,301768.463212,283074.205587,12665993.1429,96.5714285714,24962603.1429
4,13.2857142857,29.1428571429,faces,13,13-faces_15_10__01_11 Samples.txt,508252.99745,254949.525883,247225.799191,7651475.28571,97.6428571429,24213174
5,7.14285714286,18.2142857143,facenoise,13,13-facesnoise_14_42__01_11 Samples.txt,1389143.7943,638556.912099,553190.776205,8877429.28571,60.9285714286,27183949.9286
6,0.928571428571,1.14285714286,letters,13,13-letters_14_55__01_11 Samples.txt,65750.5952381,160685.177778,219447.184602,225850.785714,104.285714286,21359847.7857
7,10.8571428571,21.2142857143,noise,13,13-noise_15_24__01_11 Samples.txt,896500.14903,447481.55407,387925.577098,9279626,78.7857142857,27519364.6429
8,12.1428571429,30.5714285714,faces,14,14-faces_16_13__22_11 Samples.txt,1597258.99963,604695.041542,533277.897423,16534270.0714,61.6428571429,28576364.5
9,14.7142857143,57.3571428571,facenoise,14,14-facesnoise_15_32__22_11 Samples.txt,654116.574778,156436.322974,141102.624163,10336169.7857,128.071428571,18437407.8571
10,9.64285714286,25.8571428571,letters,14,14-letters_15_46__22_11 Samples.txt,2295723.80265,864044.223903,697847.154826,17961055.3571,51.7142857143,29053488.1429
11,10.8571428571,26.7142857143,noise,14,14-noise_16_00__22_11 Samples.txt,2482390.38228,722169.736125,576896.941778,18234120.7857,57.7142857143,29015401.2857
12,12.0714285714,32.2142857143,faces,15,15-faces_16_17__25_11 Samples.txt,1709636.76198,587698.263406,489737.302109,17783167.0714,64.2142857143,29531950.2143
13,15.5714285714,50.7857142857,facenoise,15,15-facesnoise_15_59__25_11 Samples.txt,1222565.14747,326943.801392,312001.089117,15900932.1429,99.4285714286,28853296.2857
14,11,24.5714285714,letters,15,15-letters_15_46__25_11 Samples.txt,674280.110204,331163.313991,457288.78597,7408154.78571,83.2857142857,29056666.5
15,12.4285714286,43.7142857143,noise,15,15-noise_16_29__25_11 Samples.txt,1444938.1572,411037.127557,336680.994656,17902961.5714,84.1428571429,27751831.5
16,0.785714285714,1.14285714286,faces,16,16-faces_19_05__30_11 Samples.txt,25395.005102,64481.5875,72801.2520092,78080.1428571,11.2142857143,820722.857143
17,21.8571428571,70.0714285714,facenoise,16,16-facesnoise_19_21__30_11 Samples.txt,764783.602333,225585.71707,202206.694858,15483099.8571,127.071428571,24486168.7143
18,9.42857142857,18.2857142857,letters,16,16-letters_19_34__30_11 Samples.txt,195935.377544,110329.443471,95198.5648453,2404537.14286,62.5,7462583.21429
19,16.3571428571,45.7142857143,noise,16,16-noise_18_50__30_11 Samples.txt,342201.000172,149127.09525,169077.195649,6772374.14286,144.857142857,23848784.1429
20,2.35714285714,3.71428571429,letters,3,3-letters_17_57__26_09 Samples.txt,63217.0966387,96848.5478632,92874.8090825,435209.5,73.2142857143,7414893.92857
21,0.214285714286,0.214285714286,noise,3,3-noise_18_10__26_09 Samples.txt,5339.88095238,74758.3333333,101386.278886,16019.6428571,32.1428571429,2864319.5
22,2.07142857143,4.64285714286,faces,3,3-faces_17_28__26_09 Samples.txt,38652.3847403,74584.2457792,105635.620792,555322.142857,64.6428571429,7998476.35714
23,0.428571428571,0.5,facenoise,3,3-facesnoise_17_45__26_09 Samples.txt,5999.44047619,71993.2857143,68855.9673913,35996.6428571,3.35714285714,234196.714286
24,12.4285714286,50.6428571429,faces,17,17-faces_19_05__01_12 Samples.txt,1377133.29994,280489.207735,260862.792813,14006083.7143,85.2142857143,20462607.0714
25,12.0714285714,34.8571428571,facenoise,17,17-facesnoise_20_09__01_12 Samples.txt,602019.901541,202571.137542,201275.42394,8482197.42857,72.5,16775860
26,11.7857142857,34.2142857143,letters,17,17-letters_19_35__01_12 Samples.txt,1102399.93962,375480.892866,325488.335887,12422816.2143,70.9285714286,23226620.5714
27,10.6428571429,28.2857142857,noise,17,17-noise_19_52__01_12 Samples.txt,248941.885123,116811.521174,119851.103718,3770920.85714,90.4285714286,11621319.7857
28,16.3571428571,44.9285714286,faces,1,1-faces_14_10__20_09 Samples.txt,295565.077405,113736.018746,119943.092141,5509867.07143,104.428571429,13104800.3571
29,9.07142857143,43234,facenoise,1,1-facesnoise_14_38__20_09 Sample1s.txt,350829.986484,251131.669758,251302.35959,3378118.85714,91.7857142857,21103484.5714
30,21.2857142857,58.2857142857,letters,1,1-letters_13_55__20_09 Samples.txt,504080.473738,172873.285579,152203.730495,10918149.4286,119.071428571,18852449
31,16.5714285714,52.5,noise,1,1-noise_14_24__20_09 Samples.txt,791562.279961,208281.701619,183021.866205,11142862.6429,101.071428571,18619211.4286
32,0.5,1.21428571429,faces,2,2-faces_16_05__21_09 Samples.txt,27766.1071429,94748.21875,76329.1425553,141611.285714,20.7857142857,1823734.14286
33,1.07142857143,6.14285714286,facenoise,2,2-facesnoise_16_32__21_09 Samples.txt,128066.759184,84881.477369,85118.5580084,738613.285714,18.9285714286,1869085
34,1.28571428571,43225,letters,2,2-letters_16_46__21_09 Samples.txt,130323.264286,83711.3149062,82013.5193957,616689,16.6428571429,1658503.64286
35,0.357142857143,0.642857142857,noise,2,2-noise_16_18__21_09 Samples.txt,31785.8571429,63375.25,90125.746056,39420.5714286,43.2142857143,4522076.35714
36,2.35714285714,4.64285714286,faces,4,4-faces_16_26__12_10 Samples.txt,104603.313492,115294.977328,163911.565036,589739.357143,103.571428571,17297134.5714
37,17.8571428571,66.7857142857,facenoise,4,4-facesnoise_16_00__12_10 Samples.txt,791945.097689,203164.46226,196249.630572,13447383.8571,107.285714286,20852657.5714
38,14.3571428571,41.3571428571,letters,4,4-letters_15_47__12_10 Samples.txt,502008.62268,193259.212709,225939.322452,7359901.92857,106.357142857,23141443.7143
39,0.357142857143,0.5,noise,4,4-noise_16_13__12_10 Samples.txt,38650.0714286,105527.916667,136814.656303,50436.5,92.0714285714,12665096.7857
40,43222,9.07142857143,faces,5,5-faces_19_09__13_10 Samples.txt,83619.0905696,154378.814499,112600.869063,1447440.71429,41.0714285714,5685282.64286
41,0.642857142857,1.14285714286,facenoise,5,5-facesnoise_18_22__13_10 Samples.txt,17629.6666667,71298.5416667,102502.776373,89329.9285714,46.3571428571,5357851.14286
42,3.21428571429,8.71428571429,letters,5,5-letters_18_50__13_10 Samples.txt,137051.428571,92052.1158586,94221.3330974,997443.857143,43247,3091347.85714
43,1.07142857143,2.35714285714,noise,5,5-noise_18_34__13_10 Samples.txt,60452.3571429,94182.9550725,137938.368068,294406.5,33.2857142857,5550480.71429
44,12.4285714286,36.2142857143,faces,6,6-faces_13_47__16_10 Samples.txt,1365583.62769,464427.557035,292868.048252,14565384.9286,81.8571428571,22616654.9286
45,13.5714285714,40.9285714286,facenoise,6,6-facesnoise_13_17__16_10 Samples.txt,863130.028832,313792.062139,289664.859634,11316729.7857,84.0714285714,23272185
46,8.64285714286,35.6428571429,letters,6,6-letters_13_32__16_10 Samples.txt,2099979.778,495487.899023,385484.469434,15935221.2143,70.7142857143,23861887
47,11.5714285714,32.5714285714,noise,6,6-noise_13_04__16_10 Samples.txt,658531.305995,237498.035926,305804.345676,7286840.07143,88.2857142857,23644241.9286
48,1.92857142857,4.14285714286,faces,7,7-faces_15_15__18_10 Samples.txt,127297.378571,98454.101461,83955.6119875,398450.214286,20.2857142857,1723791.57143
49,0,0,facenoise,7,7-facesnoise_15_52__18_10 Samples.txt,0,,110624.892857,0,0.714285714286,61734.6428571
50,1.35714285714,4.14285714286,letters,7,7-letters_15_28__18_10 Samples.txt,89246.75,79828.6581466,72729.7273305,331100.785714,15.5714285714,1195687.92857
51,0,0,noise,7,7-noise_15_40__18_10 Samples.txt,0,,101319.571429,0,0.571428571429,55022.6428571
52,10.7857142857,38.5,faces,8,8-faces_20_04__23_10 Samples.txt,745550.130395,234193.383486,215725.52345,8786461.78571,99.2857142857,20909761.3571
53,10.7142857143,43243,facenoise,8,8-facesnoise_19_39__23_10 Samples.txt,249951.333272,128826.279157,139074.092481,3184618.35714,104.357142857,15339329.2857
54,3.78571428571,6.64285714286,letters,8,8-letters_20_18__23_10 Samples.txt,152508.748469,137093.527785,171902.973966,963977.071429,106.285714286,18571483.0714
55,13.6428571429,35.0714285714,noise,8,8-noise_19_51__23_10 Samples.txt,753014.458053,258195.06002,221364.873158,10270677.5714,96.8571428571,21811535.0714
56,22,65.7142857143,faces,9,9-faces_17_45__25_10 Samples.txt,662738.179332,223704.347169,199076.846915,14491966.3571,124.857142857,24545919.2143
57,6.07142857143,10.5714285714,facenoise,9,9-facesnoise_18_23__25_10 Samples.txt,215474.822071,159941.202045,175741.792484,1822986.71429,125.071428571,21857476.1429
58,9.92857142857,23.1428571429,letters,9,9-letters_18_11__25_10 Samples.txt,231597.104687,104130.216558,96342.194996,2391713.85714,80.2142857143,7811845.07143
59,20.0714285714,55.7857142857,noise,9,9-noise_17_57__25_10 Samples.txt,481678.933721,172613.431417,150033.619936,9680411.07143,128.928571429,19318303.6429
60,14.8571428571,47.6428571429,faces,10,10-faces_18_24__27_10 Samples.txt,1254051.9981,365599.493038,325183.514175,16917826.5714,88.3571428571,27707745.2143
61,20.7142857143,60.5714285714,facenoise,10,10-facesnoise_18_36__27_10 Samples.txt,866527.101374,260475.194768,235609.064224,15482372.2857,103.428571429,22783182.0714
62,16.1428571429,46.0714285714,letters,10,10-letters_18_48__27_10 Samples.txt,855387.503591,324603.2929,301103.15105,12834292.1429,96,24795346.2857
63,10.5714285714,22.1428571429,noise,10,10-noise_18_11__27_10 Samples.txt,410394.390456,220705.847907,228215.180857,5071638.28571,102.642857143,22542854.5
64,14.0714285714,41.7857142857,faces,11,11-faces_14_33__31_10 Samples.txt,388188.116325,149573.501738,136564.229421,6195395.28571,96.5,13026597.4286
65,13.4285714286,36.0714285714,facenoise,11,11-facesnoise_14_19__31_10 Samples.txt,375836.018417,150691.947975,136081.920754,6022279.71429,102,14486218.3571
66,14.2142857143,43.0714285714,letters,11,11-letters_14_05__31_10 Samples.txt,670365.938434,201757.749723,172673.461534,9274361.92857,102.428571429,18511434
67,14.0714285714,45.7142857143,noise,11,11-noise_13_52__31_10 Samples.txt,571803.936051,209543.921535,195257.256409,9217383.35714,113.071428571,20964197.5
